,player_name,season,url
122,Festus Ezeli,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203105.png
123,Kenneth Faried,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202702.png
124,Derrick Favors,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202324.png
125,Raymond Felton,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101109.png
126,Landry Fields,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202361.png
127,Derek Fisher,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/965.png
128,Evan Fournier,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png
129,Randy Foye,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200751.png
130,Jimmer Fredette,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202690.png
131,Joel Freeland,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200777.png
132,Channing Frye,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101112.png
133,Danilo Gallinari,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png
134,Francisco Garcia,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101128.png
135,Kevin Garnett,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/708.png
136,Diante Garrett,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203197.png
137,Marc Gasol,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201188.png
138,Pau Gasol,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2200.png
139,Rudy Gay,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200752.png
140,Alonzo Gee,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202087.png
141,Mickael Gelabale,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101153.png
142,Paul George,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png
143,Daniel Gibson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200789.png
144,Taj Gibson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201959.png
145,Manu Ginobili,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1938.png
146,Drew Gooden,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2400.png
147,Ben Gordon,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2732.png
148,Eric Gordon,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png
149,Marcin Gortat,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101162.png
150,Andrew Goudelock,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202726.png
151,Danny Granger,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101122.png
152,Aaron Gray,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201189.png
153,Danny Green,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201980.png
154,Draymond Green,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png
155,Gerald Green,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101123.png
156,Jeff Green,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201145.png
157,Willie Green,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2584.png
158,Donte Greene,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201590.png
159,Blake Griffin,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png
160,Hamed Haddadi,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201632.png
161,Jordan Hamilton,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202706.png
162,Richard Hamilton,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1888.png
163,Ben Hansbrough,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203162.png
164,Tyler Hansbrough,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201946.png
165,James Harden,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201935.png
166,Maurice Harkless,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203090.png
167,Al Harrington,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1733.png
168,Devin Harris,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2734.png
169,Terrel Harris,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202227.png
170,Tobias Harris,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202699.png
171,Udonis Haslem,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2617.png
172,Spencer Hawes,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201150.png
173,Chuck Hayes,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101236.png
174,Gordon Hayward,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png
175,Brendan Haywood,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2217.png
176,Gerald Henderson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201945.png
177,Xavier Henry,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202333.png
178,John Henson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203089.png
179,Roy Hibbert,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201579.png
180,JJ Hickson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201581.png
181,George Hill,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201588.png
182,Grant Hill,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/255.png
183,Jordan Hill,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201941.png
184,Kirk Hinrich,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2550.png
185,Jrue Holiday,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png
186,Justin Holiday,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203200.png
187,Ryan Hollins,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200797.png
188,Al Horford,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png
189,Dwight Howard,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2730.png
190,Juwan Howard,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/436.png
191,Kris Humphries,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2743.png
192,Serge Ibaka,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201586.png
193,Andre Iguodala,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2738.png
194,Ersan Ilyasova,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101141.png
195,Kyrie Irving,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202681.png
196,Royal Ivey,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2767.png
197,Jarrett Jack,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101127.png
198,Reggie Jackson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202704.png
199,Bernard James,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203108.png
200,LeBron James,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png
201,Mike James,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2229.png
202,Antawn Jamison,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1712.png
203,Al Jefferson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2744.png
204,Richard Jefferson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2210.png
205,Jared Jeffries,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2407.png
206,Charles Jenkins,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202724.png
207,John Jenkins,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203098.png
208,Brandon Jennings,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201943.png
209,Jonas Jerebko,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201973.png
210,Amir Johnson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101161.png
211,Chris Johnson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202419.png
212,Ivan Johnson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201274.png
213,James Johnson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201949.png
214,Joe Johnson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2207.png
215,Orlando Johnson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203111.png
216,Wesley Johnson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202325.png
217,Dahntay Jones,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2563.png
218,DeQuan Jones,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203199.png
219,Dwayne Jones,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101204.png
220,James Jones,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2592.png
221,Kevin Jones,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203158.png
222,Perry Jones,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203103.png
223,Terrence Jones,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203093.png
224,DeAndre Jordan,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201599.png
225,Cory Joseph,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202709.png
226,Kris Joseph,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203126.png
227,Chris Kaman,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2549.png
228,Enes Kanter,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202683.png
229,Jason Kidd,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/467.png
230,Michael Kidd-Gilchrist,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203077.png
231,Andrei Kirilenko,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1905.png
232,Linas Kleiza,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101132.png
233,Brandon Knight,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202688.png
234,Kyle Korver,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2594.png
235,Kosta Koufos,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201585.png
236,Viacheslav Kravtsov,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203139.png
237,Doron Lamb,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203117.png
238,Jeremy Lamb,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203087.png
239,Carl Landry,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201171.png
240,Ty Lawson,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201951.png
241,Courtney Lee,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201584.png
242,David Lee,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101135.png
243,Malcolm Lee,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202723.png
244,Kawhi Leonard,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png
245,Meyers Leonard,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203086.png
246,Jon Leuer,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202720.png
